w1_q24_met_online,w1_ppage,w1_ppgender,w1_ppeduc,w1_ppincimp,w1_ppethm,w1_ppwork,w1_married,w1_same_sex_couple_raw,w1_relate_duration_in2017_years,w1_q34,still_together_w3,w1_weight_combo
0.0,74.0,Male,Bachelors degree,"$125,000 to $149,999","White, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,27.75,Excellent,1.0,0.7221013903617859
0.0,67.0,Male,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$85,000 to $99,999","White, Non-Hispanic",Working - self-employed,1.0,NOT same-sex souple,47.91666793823242,Good,1.0,1.0293281078338623
1.0,27.0,Female,Bachelors degree,"$125,000 to $149,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,2.1666667461395264,Excellent,1.0,0.9370583295822144
0.0,80.0,Female,Masters degree,"$150,000 to $174,999","2+ Races, Non-Hispanic",Not working - retired,0.0,NOT same-sex souple,35.16666793823242,Good,0.0,0.3768813014030456
0.0,51.0,Male,Associate degree,"$175,000 to $199,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,12.666666984558104,Excellent,1.0,0.9135385751724244
1.0,63.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$40,000 to $49,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,15.0,Excellent,1.0,0.9674757122993468
0.0,78.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$20,000 to $24,999","White, Non-Hispanic",Not working - retired,0.0,NOT same-sex souple,14.166666984558104,Good,1.0,0.9647619128227234
0.0,60.0,Male,Associate degree,"$75,000 to $84,999","White, Non-Hispanic",Working - self-employed,1.0,NOT same-sex souple,35.25,Good,1.0,1.0037729740142822
0.0,63.0,Male,10th grade,"$30,000 to $34,999","White, Non-Hispanic",Not working - disabled,1.0,NOT same-sex souple,45.08333206176758,Excellent,1.0,1.132453203201294
0.0,60.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$200,000 to $249,999","White, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,37.25,Excellent,1.0,1.063024640083313
0.0,58.0,Male,Associate degree,"$75,000 to $84,999","Black, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,32.41666793823242,Excellent,1.0,1.6270910501480105
0.0,53.0,Male,"Some college, no degree","$60,000 to $74,999","White, Non-Hispanic",Not working - disabled,1.0,NOT same-sex souple,27.83333396911621,Fair,1.0,0.230117455124855
0.0,68.0,Female,Bachelors degree,"$100,000 to $124,999","Other, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,52.83333206176758,Good,0.0,2.044521808624268
1.0,57.0,Female,Professional or Doctorate degree,"$100,000 to $124,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,6.5,Excellent,1.0,0.9090155363082886
0.0,53.0,Male,Masters degree,"$100,000 to $124,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,29.66666603088379,Excellent,1.0,0.7880245447158813
0.0,48.0,Male,Bachelors degree,"$175,000 to $199,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,27.16666603088379,Excellent,1.0,0.8465977907180786
0.0,55.0,Female,Bachelors degree,"$75,000 to $84,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,29.66666603088379,Excellent,0.0,1.033172607421875
1.0,61.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$35,000 to $39,999","White, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,16.58333396911621,Good,1.0,1.0199428796768188
0.0,48.0,Male,Masters degree,"$175,000 to $199,999","White, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,2.9166667461395264,Excellent,1.0,0.7805615663528442
0.0,72.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$35,000 to $39,999","Black, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,51.91666793823242,Good,1.0,1.2821654081344604
1.0,41.0,Male,"Some college, no degree","$100,000 to $124,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,14.0,Excellent,1.0,0.9912216067314148
0.0,48.0,Male,Bachelors degree,"$100,000 to $124,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,26.33333396911621,Excellent,1.0,0.7880245447158813
0.0,72.0,Female,Masters degree,"$175,000 to $199,999","White, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,50.75,Excellent,1.0,0.8274880051612854
0.0,49.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$35,000 to $39,999","Black, Non-Hispanic",Not working - looking for work,1.0,NOT same-sex souple,18.08333396911621,Good,1.0,1.4581111669540403
0.0,47.0,Female,Associate degree,"$100,000 to $124,999",Hispanic,Working - as a paid employee,1.0,NOT same-sex souple,25.66666603088379,Good,1.0,1.4858146905899048
0.0,45.0,Female,Bachelors degree,"$150,000 to $174,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,26.83333396911621,Excellent,0.0,1.0453848838806152
0.0,58.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$85,000 to $99,999","White, Non-Hispanic",Not working - other,1.0,NOT same-sex souple,42.66666793823242,Excellent,1.0,1.2486950159072876
0.0,60.0,Male,Masters degree,"$40,000 to $49,999","White, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,1.6666666269302368,Good,0.0,0.8469370007514954
0.0,39.0,Female,Masters degree,"$100,000 to $124,999","Black, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,4.416666507720947,Excellent,1.0,1.4096016883850098
0.0,52.0,Male,Bachelors degree,"$250,000 or more","White, Non-Hispanic",Not working - other,1.0,NOT same-sex souple,10.416666984558104,Excellent,1.0,0.8100743293762207
0.0,54.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$60,000 to $74,999","White, Non-Hispanic",Working - self-employed,1.0,NOT same-sex souple,36.75,Good,1.0,1.025370478630066
0.0,27.0,Female,Bachelors degree,"$75,000 to $84,999","Black, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,0.1666666716337204,Good,1.0,1.3484277725219729
0.0,55.0,Male,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$50,000 to $59,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,35.58333206176758,Excellent,1.0,0.9104855060577391
1.0,55.0,Male,10th grade,"$60,000 to $74,999","White, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,4.916666507720947,Good,1.0,1.0527347326278689
0.0,58.0,Male,Masters degree,"$100,000 to $124,999","White, Non-Hispanic",Working - as a paid employee,0.0,same_sex_couple,17.83333396911621,Excellent,1.0,0.1322261244058609
0.0,27.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$30,000 to $34,999","White, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,9.583333015441896,Excellent,1.0,1.1342624425888062
0.0,74.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$85,000 to $99,999","2+ Races, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,59.08333206176758,Good,1.0,0.4723171889781952
0.0,68.0,Male,Masters degree,"$75,000 to $84,999","White, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,49.41666793823242,Excellent,1.0,0.844223141670227
0.0,25.0,Male,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$60,000 to $74,999","White, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,1.9166666269302368,Excellent,0.0,1.2713100910186768
